case_type,date,count
Vaccinated Cases per 10000,"Wednesday, 19 May, 2021",1.258875444
Unvaccinated Cases per 10000,"Thursday, 20 May, 2021",2.11644288
Vaccinated Cases per 10000,"Thursday, 20 May, 2021",1.362507642
Unvaccinated Cases per 10000,"Friday, 21 May, 2021",2.017750696
Vaccinated Cases per 10000,"Friday, 21 May, 2021",1.350297689
Unvaccinated Cases per 10000,"Saturday, 22 May, 2021",1.959281089
Vaccinated Cases per 10000,"Saturday, 22 May, 2021",1.431928923
Unvaccinated Cases per 10000,"Sunday, 23 May, 2021",2.164687039
Vaccinated Cases per 10000,"Sunday, 23 May, 2021",1.553508537
Unvaccinated Cases per 10000,"Monday, 24 May, 2021",2.027253864
Vaccinated Cases per 10000,"Monday, 24 May, 2021",1.328840349
Unvaccinated Cases per 10000,"Tuesday, 25 May, 2021",2.27802259
Vaccinated Cases per 10000,"Tuesday, 25 May, 2021",1.375120173
Unvaccinated Cases per 10000,"Wednesday, 26 May, 2021",2.339590419
Vaccinated Cases per 10000,"Wednesday, 26 May, 2021",1.376146517
Unvaccinated Cases per 10000,"Thursday, 27 May, 2021",2.452746934
Vaccinated Cases per 10000,"Thursday, 27 May, 2021",1.576093809
Unvaccinated Cases per 10000,"Friday, 28 May, 2021",2.60033238
Vaccinated Cases per 10000,"Friday, 28 May, 2021",1.473366391
Unvaccinated Cases per 10000,"Saturday, 29 May, 2021",2.826301433
Vaccinated Cases per 10000,"Saturday, 29 May, 2021",1.687487147
Unvaccinated Cases per 10000,"Sunday, 30 May, 2021",2.19751433
Vaccinated Cases per 10000,"Sunday, 30 May, 2021",1.254372365
Unvaccinated Cases per 10000,"Monday, 31 May, 2021",2.144719246
Vaccinated Cases per 10000,"Monday, 31 May, 2021",1.221065118
Unvaccinated Cases per 10000,"Tuesday, 1 June, 2021",2.229009871
Vaccinated Cases per 10000,"Tuesday, 1 June, 2021",1.368127567
Unvaccinated Cases per 10000,"Wednesday, 2 June, 2021",2.421459119
Vaccinated Cases per 10000,"Wednesday, 2 June, 2021",1.45631617
Unvaccinated Cases per 10000,"Thursday, 3 June, 2021",2.605854798
Vaccinated Cases per 10000,"Thursday, 3 June, 2021",1.258226608
Unvaccinated Cases per 10000,"Friday, 4 June, 2021",2.454075819
Vaccinated Cases per 10000,"Friday, 4 June, 2021",1.306139199
Unvaccinated Cases per 10000,"Saturday, 5 June, 2021",2.370063883
Vaccinated Cases per 10000,"Saturday, 5 June, 2021",1.166342613
Unvaccinated Cases per 10000,"Sunday, 6 June, 2021",1.975234037
Vaccinated Cases per 10000,"Sunday, 6 June, 2021",1.128031585
Unvaccinated Cases per 10000,"Monday, 7 June, 2021",1.660531023
Vaccinated Cases per 10000,"Monday, 7 June, 2021",1.061476455
Unvaccinated Cases per 10000,"Tuesday, 8 June, 2021",1.778485944
Vaccinated Cases per 10000,"Tuesday, 8 June, 2021",0.862719397
Unvaccinated Cases per 10000,"Wednesday, 9 June, 2021",1.99679683
Vaccinated Cases per 10000,"Wednesday, 9 June, 2021",0.974914613
Unvaccinated Cases per 10000,"Thursday, 10 June, 2021",1.810367071
Vaccinated Cases per 10000,"Thursday, 10 June, 2021",0.971081607
Unvaccinated Cases per 10000,"Friday, 11 June, 2021",2.203950322
Vaccinated Cases per 10000,"Friday, 11 June, 2021",1.030477205
Unvaccinated Cases per 10000,"Saturday, 12 June, 2021",1.867217385
Vaccinated Cases per 10000,"Saturday, 12 June, 2021",0.875374353
Unvaccinated Cases per 10000,"Sunday, 13 June, 2021",1.715453923
Vaccinated Cases per 10000,"Sunday, 13 June, 2021",0.777212996
Unvaccinated Cases per 10000,"Monday, 14 June, 2021",1.597968129
Vaccinated Cases per 10000,"Monday, 14 June, 2021",0.787708856
Unvaccinated Cases per 10000,"Tuesday, 15 June, 2021",1.761429783
Vaccinated Cases per 10000,"Tuesday, 15 June, 2021",0.80726146
Unvaccinated Cases per 10000,"Wednesday, 16 June, 2021",1.670384599
Vaccinated Cases per 10000,"Wednesday, 16 June, 2021",0.846015228
Unvaccinated Cases per 10000,"Thursday, 17 June, 2021",1.885501374
