date,case_type,count
"Friday, 5 March, 2021",Deaths,1164
"Saturday, 6 March, 2021",Active,21155
"Saturday, 6 March, 2021",Recovered,289451
"Saturday, 6 March, 2021",Deaths,1171
"Sunday, 7 March, 2021",Active,20329
"Sunday, 7 March, 2021",Recovered,291957
"Sunday, 7 March, 2021",Deaths,1174
"Monday, 8 March, 2021",Active,19774
"Monday, 8 March, 2021",Recovered,294033
"Monday, 8 March, 2021",Deaths,1182
"Tuesday, 9 March, 2021",Active,18700
"Tuesday, 9 March, 2021",Recovered,296378
"Tuesday, 9 March, 2021",Deaths,1191
"Wednesday, 10 March, 2021",Active,18006
"Wednesday, 10 March, 2021",Recovered,298515
"Wednesday, 10 March, 2021",Deaths,1196
"Thursday, 11 March, 2021",Active,17540
"Thursday, 11 March, 2021",Recovered,300619
"Thursday, 11 March, 2021",Deaths,1205
"Friday, 12 March, 2021",Active,17070
"Friday, 12 March, 2021",Recovered,302661
"Friday, 12 March, 2021",Deaths,1208
"Saturday, 13 March, 2021",Active,16707
"Saturday, 13 March, 2021",Recovered,304491
"Saturday, 13 March, 2021",Deaths,1211
"Sunday, 14 March, 2021",Active,16275
"Sunday, 14 March, 2021",Recovered,306273
"Sunday, 14 March, 2021",Deaths,1215
"Monday, 15 March, 2021",Active,15507
"Monday, 15 March, 2021",Recovered,308246
"Monday, 15 March, 2021",Deaths,1218
"Tuesday, 16 March, 2021",Active,15200
"Tuesday, 16 March, 2021",Recovered,309611
"Tuesday, 16 March, 2021",Deaths,1223
"Wednesday, 17 March, 2021",Active,15071
"Wednesday, 17 March, 2021",Recovered,310957
"Wednesday, 17 March, 2021",Deaths,1225
"Thursday, 18 March, 2021",Active,14778
"Thursday, 18 March, 2021",Recovered,312460
"Thursday, 18 March, 2021",Deaths,1228
"Friday, 19 March, 2021",Active,14356
"Friday, 19 March, 2021",Recovered,314456
"Friday, 19 March, 2021",Deaths,1230
"Saturday, 20 March, 2021",Active,14438
"Saturday, 20 March, 2021",Recovered,316041
"Saturday, 20 March, 2021",Deaths,1234
"Sunday, 21 March, 2021",Active,14514
"Sunday, 21 March, 2021",Recovered,317288
"Sunday, 21 March, 2021",Deaths,1238
"Monday, 22 March, 2021",Active,14130
"Monday, 22 March, 2021",Recovered,318783
"Monday, 22 March, 2021",Deaths,1243
"Tuesday, 23 March, 2021",Active,14455
"Tuesday, 23 March, 2021",Recovered,319841
"Tuesday, 23 March, 2021",Deaths,1244
"Wednesday, 24 March, 2021",Active,14638
"Wednesday, 24 March, 2021",Recovered,320924
"Wednesday, 24 March, 2021",Deaths,1246
"Thursday, 25 March, 2021",Active,14505
"Thursday, 25 March, 2021",Recovered,322415
"Thursday, 25 March, 2021",Deaths,1248
"Friday, 26 March, 2021",Active,14270
"Friday, 26 March, 2021",Recovered,323924
"Friday, 26 March, 2021",Deaths,1249
"Saturday, 27 March, 2021",Active,14210
"Saturday, 27 March, 2021",Recovered,325181
"Saturday, 27 March, 2021",Deaths,1251
"Sunday, 28 March, 2021",Active,14381
"Sunday, 28 March, 2021",Recovered,326308
"Sunday, 28 March, 2021",Deaths,1255
"Monday, 29 March, 2021",Active,14220
"Monday, 29 March, 2021",Recovered,327405
"Monday, 29 March, 2021",Deaths,1260
"Tuesday, 30 March, 2021",Active,14201
"Tuesday, 30 March, 2021",Recovered,328553
"Tuesday, 30 March, 2021",Deaths,1264
"Wednesday, 31 March, 2021",Active,14605
"Wednesday, 31 March, 2021",Recovered,329623
"Wednesday, 31 March, 2021",Deaths,1272
"Thursday, 1 April, 2021",Active,14400
"Thursday, 1 April, 2021",Recovered,331000
"Thursday, 1 April, 2021",Deaths,1278
"Friday, 2 April, 2021",Active,14247
"Friday, 2 April, 2021",Recovered,332442
"Friday, 2 April, 2021",Deaths,1283
"Saturday, 3 April, 2021",Active,14433
"Saturday, 3 April, 2021",Recovered,333891
"Saturday, 3 April, 2021",Deaths,1286
"Sunday, 4 April, 2021",Active,14510
"Sunday, 4 April, 2021",Recovered,335161
"Sunday, 4 April, 2021",Deaths,1288
"Monday, 5 April, 2021",Active,14279
"Monday, 5 April, 2021",Recovered,336455
"Monday, 5 April, 2021",Deaths,1295
"Tuesday, 6 April, 2021",Active,14162
"Tuesday, 6 April, 2021",Recovered,337867
"Tuesday, 6 April, 2021",Deaths,1300
"Wednesday, 7 April, 2021",Active,14098
"Wednesday, 7 April, 2021",Recovered,339066
"Wednesday, 7 April, 2021",Deaths,1304
"Thursday, 8 April, 2021",Active,14204
"Thursday, 8 April, 2021",Recovered,340241
"Thursday, 8 April, 2021",Deaths,1308
"Friday, 9 April, 2021",Active,14806
"Friday, 9 April, 2021",Recovered,341488
"Friday, 9 April, 2021",Deaths,1313
"Saturday, 10 April, 2021",Active,15060
"Saturday, 10 April, 2021",Recovered,342736
"Saturday, 10 April, 2021",Deaths,1321
"Sunday, 11 April, 2021",Active,15575
"Sunday, 11 April, 2021",Recovered,343952
"Sunday, 11 April, 2021",Deaths,1329
"Monday, 12 April, 2021",Active,15836
"Monday, 12 April, 2021",Recovered,345004
"Monday, 12 April, 2021",Deaths,1333
"Tuesday, 13 April, 2021",Active,16301
"Tuesday, 13 April, 2021",Recovered,346294
"Tuesday, 13 April, 2021",Deaths,1345
"Wednesday, 14 April, 2021",Active,16697
"Wednesday, 14 April, 2021",Recovered,347779
"Wednesday, 14 April, 2021",Deaths,1353
"Thursday, 15 April, 2021",Active,17576
"Thursday, 15 April, 2021",Recovered,349038
"Thursday, 15 April, 2021",Deaths,1363
"Friday, 16 April, 2021",Active,18601
"Friday, 16 April, 2021",Recovered,350562
"Friday, 16 April, 2021",Deaths,1365
"Saturday, 17 April, 2021",Active,19095
"Saturday, 17 April, 2021",Recovered,352394
"Saturday, 17 April, 2021",Deaths,1370
"Sunday, 18 April, 2021",Active,19855
"Sunday, 18 April, 2021",Recovered,353821
"Sunday, 18 April, 2021",Deaths,1378
"Monday, 19 April, 2021",Active,20523
"Monday, 19 April, 2021",Recovered,355223
"Monday, 19 April, 2021",Deaths,1386
"Tuesday, 20 April, 2021",Active,21269
"Tuesday, 20 April, 2021",Recovered,356815
"Tuesday, 20 April, 2021",Deaths,1389
"Wednesday, 21 April, 2021",Active,21688
"Wednesday, 21 April, 2021",Recovered,358725
"Wednesday, 21 April, 2021",Deaths,1400
"Thursday, 22 April, 2021",Active,22015
"Thursday, 22 April, 2021",Recovered,361266
"Thursday, 22 April, 2021",Deaths,1407
"Friday, 23 April, 2021",Active,22513
"Friday, 23 April, 2021",Recovered,363607
"Friday, 23 April, 2021",Deaths,1415
"Saturday, 24 April, 2021",Active,22927
"Saturday, 24 April, 2021",Recovered,365899
"Saturday, 24 April, 2021",Deaths,1426
"Sunday, 25 April, 2021",Active,23754
"Sunday, 25 April, 2021",Recovered,367752
"Sunday, 25 April, 2021",Deaths,1436
"Monday, 26 April, 2021",Active,24714
"Monday, 26 April, 2021",Recovered,369555
"Monday, 26 April, 2021",Deaths,1449
"Tuesday, 27 April, 2021",Active,25415
"Tuesday, 27 April, 2021",Recovered,371574
"Tuesday, 27 April, 2021",Deaths,1462
"Wednesday, 28 April, 2021",Active,26720
"Wednesday, 28 April, 2021",Recovered,373396
"Wednesday, 28 April, 2021",Deaths,1477
"Thursday, 29 April, 2021",Active,28094
"Thursday, 29 April, 2021",Recovered,375339
"Thursday, 29 April, 2021",Deaths,1492
"Friday, 30 April, 2021",Active,29228
"Friday, 30 April, 2021",Recovered,377979
"Friday, 30 April, 2021",Deaths,1506
"Saturday, 1 May, 2021",Active,29632
"Saturday, 1 May, 2021",Recovered,380441
"Saturday, 1 May, 2021",Deaths,1521
"Sunday, 2 May, 2021",Active,30340
"Sunday, 2 May, 2021",Recovered,383139
"Sunday, 2 May, 2021",Deaths,1533
"Monday, 3 May, 2021",Active,30754
"Monday, 3 May, 2021",Recovered,385207
"Monday, 3 May, 2021",Deaths,1551
"Tuesday, 4 May, 2021",Active,31517
"Tuesday, 4 May, 2021",Recovered,387541
"Tuesday, 4 May, 2021",Deaths,1574
"Wednesday, 5 May, 2021",Active,32940
"Wednesday, 5 May, 2021",Recovered,389845
"Wednesday, 5 May, 2021",Deaths,1591
"Thursday, 6 May, 2021",Active,33763
"Thursday, 6 May, 2021",Recovered,392554
"Thursday, 6 May, 2021",Deaths,1610
"Friday, 7 May, 2021",Active,34790
"Friday, 7 May, 2021",Recovered,396003
"Friday, 7 May, 2021",Deaths,1632
"Saturday, 8 May, 2021",Active,36565
"Saturday, 8 May, 2021",Recovered,398722
"Saturday, 8 May, 2021",Deaths,1657
"Sunday, 9 May, 2021",Active,37061
"Sunday, 9 May, 2021",Recovered,401933
"Sunday, 9 May, 2021",Deaths,1683
"Monday, 10 May, 2021",Active,37397
"Monday, 10 May, 2021",Recovered,405387
"Monday, 10 May, 2021",Deaths,1700
"Tuesday, 11 May, 2021",Active,38500
"Tuesday, 11 May, 2021",Recovered,408235
"Tuesday, 11 May, 2021",Deaths,1722
"Wednesday, 12 May, 2021",Active,40102
"Wednesday, 12 May, 2021",Recovered,411359
"Wednesday, 12 May, 2021",Deaths,1761
"Thursday, 13 May, 2021",Active,41583
"Thursday, 13 May, 2021",Recovered,414706
"Thursday, 13 May, 2021",Deaths,1788
"Friday, 14 May, 2021",Active,41472
"Friday, 14 May, 2021",Recovered,418896
"Friday, 14 May, 2021",Deaths,1822
"Saturday, 15 May, 2021",Active,42136
"Saturday, 15 May, 2021",Recovered,422328
"Saturday, 15 May, 2021",Deaths,1866
"Sunday, 16 May, 2021",Active,41890
"Sunday, 16 May, 2021",Recovered,426318
"Sunday, 16 May, 2021",Deaths,1902
"Monday, 17 May, 2021",Active,43507
"Monday, 17 May, 2021",Recovered,429102
"Monday, 17 May, 2021",Deaths,1947
"Tuesday, 18 May, 2021",Active,44828
"Tuesday, 18 May, 2021",Recovered,432599
"Tuesday, 18 May, 2021",Deaths,1994
"Wednesday, 19 May, 2021",Active,47341
"Wednesday, 19 May, 2021",Recovered,436115
"Wednesday, 19 May, 2021",Deaths,2040
"Thursday, 20 May, 2021",Active,50172
"Thursday, 20 May, 2021",Recovered,440031
"Thursday, 20 May, 2021",Deaths,2099
"Friday, 21 May, 2021",Active,52107
"Friday, 21 May, 2021",Recovered,444539
"Friday, 21 May, 2021",Deaths,2149
"Saturday, 22 May, 2021",Active,53683
"Saturday, 22 May, 2021",Recovered,449233
"Saturday, 22 May, 2021",Deaths,2199
"Sunday, 23 May, 2021",Active,57023
"Sunday, 23 May, 2021",Recovered,452820
"Sunday, 23 May, 2021",Deaths,2248
"Monday, 24 May, 2021",Active,60019
"Monday, 24 May, 2021",Recovered,456272
"Monday, 24 May, 2021",Deaths,2309
"Tuesday, 25 May, 2021",Active,63459
"Tuesday, 25 May, 2021",Recovered,460061
"Tuesday, 25 May, 2021",Deaths,2369
"Wednesday, 26 May, 2021",Active,66209
"Wednesday, 26 May, 2021",Recovered,464726
"Wednesday, 26 May, 2021",Deaths,2432
"Thursday, 27 May, 2021",Active,69409
"Thursday, 27 May, 2021",Recovered,469324
"Thursday, 27 May, 2021",Deaths,2491
"Friday, 28 May, 2021",Active,72824
"Friday, 28 May, 2021",Recovered,474138
"Friday, 28 May, 2021",Deaths,2552
"Saturday, 29 May, 2021",Active,76219
"Saturday, 29 May, 2021",Recovered,479665
"Saturday, 29 May, 2021",Deaths,2650
"Sunday, 30 May, 2021",Active,78018
"Sunday, 30 May, 2021",Recovered,484786
"Sunday, 30 May, 2021",Deaths,2729
"Monday, 31 May, 2021",Active,79524
"Monday, 31 May, 2021",Recovered,490037
"Monday, 31 May, 2021",Deaths,2796
"Tuesday, 1 June, 2021",Active,80475
"Tuesday, 1 June, 2021",Recovered,496120
"Tuesday, 1 June, 2021",Deaths,2867
"Wednesday, 2 June, 2021",Active,82275
"Wednesday, 2 June, 2021",Recovered,501897
"Wednesday, 2 June, 2021",Deaths,2993
"Thursday, 3 June, 2021",Active,83332
"Thursday, 3 June, 2021",Recovered,508946
"Thursday, 3 June, 2021",Deaths,3096
"Friday, 4 June, 2021",Active,84370
"Friday, 4 June, 2021",Recovered,515570
"Friday, 4 June, 2021",Deaths,3182
"Saturday, 5 June, 2021",Active,85608
"Saturday, 5 June, 2021",Recovered,521675
"Saturday, 5 June, 2021",Deaths,3291
"Sunday, 6 June, 2021",Active,86629
"Sunday, 6 June, 2021",Recovered,526808
"Sunday, 6 June, 2021",Deaths,3378
"Monday, 7 June, 2021",Active,84270
"Monday, 7 June, 2021",Recovered,534356
"Monday, 7 June, 2021",Deaths,3460
"Tuesday, 8 June, 2021",Active,82798
"Tuesday, 8 June, 2021",Recovered,541318
"Tuesday, 8 June, 2021",Deaths,3536
"Wednesday, 9 June, 2021",Active,81576
"Wednesday, 9 June, 2021",Recovered,548704
"Wednesday, 9 June, 2021",Deaths,3611
"Thursday, 10 June, 2021",Active,79849
"Thursday, 10 June, 2021",Recovered,556029
"Thursday, 10 June, 2021",Deaths,3684
"Friday, 11 June, 2021",Active,78865
"Friday, 11 June, 2021",Recovered,563778
"Friday, 11 June, 2021",Deaths,3768
"Saturday, 12 June, 2021",Active,76248
"Saturday, 12 June, 2021",Recovered,572112
"Saturday, 12 June, 2021",Deaths,3844
"Sunday, 13 June, 2021",Active,73325
"Sunday, 13 June, 2021",Recovered,580275
"Sunday, 13 June, 2021",Deaths,3908
"Monday, 14 June, 2021",Active,71626
"Monday, 14 June, 2021",Recovered,586863
"Monday, 14 June, 2021",Deaths,3968
"Tuesday, 15 June, 2021",Active,70113
"Tuesday, 15 June, 2021",Recovered,593694
"Tuesday, 15 June, 2021",Deaths,4069
"Wednesday, 16 June, 2021",Active,67950
"Wednesday, 16 June, 2021",Recovered,600934
"Wednesday, 16 June, 2021",Deaths,4142
"Thursday, 17 June, 2021",Active,66098
"Thursday, 17 June, 2021",Recovered,608464
"Thursday, 17 June, 2021",Deaths,4202
"Friday, 18 June, 2021",Active,65603
"Friday, 18 June, 2021",Recovered,615325
"Friday, 18 June, 2021",Deaths,4276
"Saturday, 19 June, 2021",Active,64524
"Saturday, 19 June, 2021",Recovered,622243
"Saturday, 19 June, 2021",Deaths,4348
"Sunday, 20 June, 2021",Active,63816
"Sunday, 20 June, 2021",Recovered,628184
"Sunday, 20 June, 2021",Deaths,4408
"Monday, 21 June, 2021",Active,62919
"Monday, 21 June, 2021",Recovered,633623
"Monday, 21 June, 2021",Deaths,4477
"Tuesday, 22 June, 2021",Active,62028
"Tuesday, 22 June, 2021",Recovered,639180
"Tuesday, 22 June, 2021",Deaths,4554
"Wednesday, 23 June, 2021",Active,60817
